标题,详情页链接,时间,正文
需要做核酸检测的注意了,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6968624562753765895%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7475d7c6206b34f5a56a9afb8418e99b9169d5348213ca6f74947b9edb8242a7d7f97e8bdb5578c0811f25314c57641fd,2020/10/12,"齐鲁网闪电新闻月日讯近日，有网友在网络上晒出一张图，引起网友热议。该图中写到，要提醒核酸采集工作人员在查完前面一人后要做手消毒，否则很可能会造成交叉感染。
那么，在前后两位检测者之间，真的存在交叉感染的风险吗？
如果大家最近需要出行，
需要关注本地或所到地是否需要核酸检测阴性证明。
推荐两个服务给大家，
以备不时之需。
核酸检测
核酸检测机构查询
查各地核酸检测机构
查附近核酸检测机构
一键拨号
一键导航
核酸检测
核酸检测结果查询
查询日内核酸检测结果和既往血清特异性抗体检测结果
数据还在不断汇聚完善中。
分享出去，有朋友需要它！
来源中国政府网"
疫情防控从我做起·核酸检测采样篇,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7009525450787848717%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e70d428ac1db7e16dfcbf41ec338f2398db4057f3e0509310910413e62c3ffd4d60862bb687a6e4f94ab2ae87396803ef2,2021/09/19,"来源福州广电福视悦动
摘要核酸检测是疫情防控的监测网，开展核酸检测是快速发现病毒感染者有效切断传播途径防止疫情扩散的最重要手段之一。那么，核酸检测采样前需要做什么准备？在采样时如何避免交叉感染？
本文来自福州广电福视悦动，仅代表作者观点。全国党媒信息公共平台提供信息发布传播服务。
ID：jrtt"
核酸检测怎么做?有哪些注意事项?专家为您解答,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6907560558636040712%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7c4e9366dff0623e2a6526f4bf0405cb583dc0e57fd801290127c8417dd77ca7b12409223df41a6fec2222508a2ce578e,2020/12/18,"原标题核酸检测怎么做？有哪些注意事项？专家为您解答
核酸检测通常需要多长时间？
四川新闻网成都月日讯记者李丹新冠肺炎疫情发生以来，核酸检测这一相对生僻的医学术语已经成了大家日常谈论的高频词。最近，随着成都市核酸检测范围进一步扩大，作为确诊新冠肺炎的金标准，核酸检测需要多长时间？核酸检测的结果或报告有有效期吗？核酸检测该注意什么？等一系列问题大家都非常关注。日，四川省疾病预防控制中心微生物检验所副主任检验技师杨慧萍为大家进行解读。
核酸检测通常需要多长时间？
核酸检测目前是尽早确定是否感染新冠病毒最有效的检测方法。标准流程包括手工处理样本上机提取核酸手工加入核酸模板上机扩增结果分析报告五个步骤，都需要专业技术人员操作并分析，对实验室要求高，工作量非常大，所以，常规检测一般都要小时才能出结果。
核酸检测的结果或报告有有效期吗？
核酸检测结果或者报告的有效期，根据不同人群和不同地区的疫情防控管理政策不同有一定的区别。比如国内中高风险地区人群出行的有效核酸检测报告是天内。
核酸检测怎么做？
核酸检测是将新型冠状病毒中一段特异性的基因序列作为靶标，通过扩增技术，将这个目标片段不断的扩增，达到我们可以用仪器检测到的信号。我们收到样本手工处理后，需要进行核酸提取，检测人员是直接面对新冠病毒，暴露风险很高。核酸提取成功后，加入制备好的反应体系，经过扩增，目标序列片段呈指数级增加，而每一个经扩增出来的序列，都可以与我们预先所加入的一段荧光标记探针相结合，从而产生荧光信号，而扩增出来的靶基因越多，所累积的荧光信号就越强，通过专门仪器收集识别荧光信号供专业人员判断扩增产物中有无新冠病毒特有的核酸片段，做出核酸检测阳性或阴性报告。
核酸检测注意事项有哪些？
核酸检测注意事项包括避免实验室操作过程中的样本之间的交叉污染和阳性扩增产物及阳性对照引起的实验室污染，实验过程中合理的阴性阳性对照设置是实验质控与结果有效的保证。
核酸检测报告在哪查询？
微信小程序国家政务服务平台中的核酸和抗体检测查询，这一项目就可以查询到结果。
核酸检测的注意事项
视频由四川省卫健委宣教中心提供记者李丹"
转存!九图了解核酸检测必知注意事项,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6922616642451014157%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7cb0e4ace5e7fd4511c9cd87d10bb8cdc47ffad6a1de9b55031e114debce6e0c1960bd041a9cac0dcfc6dc5ae30ccd3c3,2021/01/28,"转存！九图了解核酸检测必知注意事项今天是春运第天。高中低风险地区有哪些具体要求？什么情况需要做核酸检测？如何预约？最新要求人民日报
来源封面新闻"
深度关注丨核酸和抗体检测知多少,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6819051571020562951%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7ad791461feedbd9b60c536f401b94d1dd516361e0827208b60d0d34671bfa3e81a5da347e162a4fb0a4a2719062356a9,2020/04/24,"中央纪委国家监委网站付筱菁
图为月日，在上海市普陀区的指定采样地点，工作人员在对企事业单位员工进行采样检测。新华社记者丁汀摄
图为月日，在江苏硕世生物科技股份有限公司，工作人员在分装新冠病毒核酸检测试剂产品。新华社记者李博摄
月日召开的中央应对新冠肺炎疫情工作领导小组会议指出，做好常态化防控要加快提升检测能力，大规模开展核酸和抗体检测。这既有利于精准防控维护群众健康，又有助于人员合理流动推动全面复工复产。
根据境内外疫情新情况新问题，党中央突出重点做好精准防控，着力提升检测能力，尽力扩大检测范围，在常态化防控条件下推动经济社会秩序加快恢复。
月日，在国务院新闻办举行的一季度工业通信业发展情况新闻发布会上，工信部新闻发言人运行监测协调局局长黄利斌表示，我国现有家的种新冠病毒检测试剂盒获批上市，企业日产能合计万人份。工信部每天都开展生产供应监测，从目前的情况看，生产基本正常，库存也比较充足。
那么，如何大规模开展核酸和抗体检测？哪些人需要检测？检测的费用又是多少？
什么是核酸和抗体检测
核酸检测，是新冠肺炎疫情暴发以来人们经常听到的一个词。
中国疾控中心传染病处研究员冯录召告诉记者，当前批准上市的新冠病毒检测试剂主要包括两类一类是核酸检测试剂，一类是抗体检测试剂。随着对病毒认识的深入和研发工作的进展，将来会有更多的检测试剂和方法投入使用。
核酸包括脱氧核糖核酸和核糖核酸。导致这次疫情的新冠病毒是一种含有的病毒。月初，我国科学家在极短时间内完成对新冠病毒全基因组序列的解析，并通过与其它物种的基因组序列对比，发现了新冠病毒中的特异核酸序列。因此，如果能在患者样本中检测到新冠病毒的特异核酸序列，就可以判断该患者可能被感染。
在检测新冠病毒特异序列的方法中，最常见的是荧光定量聚合酶链式反应法。因反应模板仅为，因此在进行反应前，应将新型冠状病毒核酸逆转录为。这个检测的原理是以病毒独特的基因序列为检测靶标，通过扩增，使选择的这段靶标序列指数级增加。每一个扩增出来的序列，都可与预先加入的一段荧光标记探针结合，产生荧光信号。扩增出来的靶基因越多，累计的荧光信号就越强。这样就可以通过检测荧光信号的累积来确定样本中是否有病毒核酸。
据冯录召介绍，核酸检测过程包括标本处理核酸提取进行检测等多个步骤，平均检测时间需要个小时。由于它是直接对采集标本中的病毒核酸进行检测，特异性强敏感度相对较高，因此是当前主要的检测手段。
而抗体检测，则是对人体血液中的抗体水平进行检测，包括胶体金法和磁微粒化学发光法，其中胶体金法平均检测时间为分钟左右，磁微粒化学发光法一般需要分钟。
但是，由于在病毒感染早期，人体内可能还没有产生抗体，这就存在检测的窗口期。冯录召说，抗体检测可用于对核酸检测阴性的病例进行辅助诊断，也可以对病例进行排查筛查，但是还不能代替核酸检测方法。
核酸检测中常用的聚合酶链式反应，是由美国生物化学家凯利巴克斯穆利斯于年发现的。技术一经问世，就被迅速而广泛地用于分子生物学的各个领域。如今，技术已成为生物化学和分子生物学的关键技术。
在现实生活中，核酸检测也早已被应用于病毒检测之中。非典时期，我国科技人员曾研发出采用巢式技术的核酸检测试剂盒。年月，原国家卫计委办公厅发布了医院人感染禽流感病毒核酸检测标准操作程序，其中规定使用国家疾病预防控制中心制备或商品化试剂盒开展人感染禽流感病毒核酸检测工作。
年，我国艾滋病和病毒性肝炎等重大传染病防治科技重大专项取得一系列重要研究成果。重大专项研发的新型核酸检测技术，一次能对艾滋病乙型肝炎丙型肝炎三种病原体同时检测，大大缩短了检测的窗口期。此外，埃博拉病毒中东呼吸综合征病毒等病毒检测中，都曾使用核酸检测试剂盒。
如何开展大规模检测
如何理解大规模检测？记者月日致电国家卫健委有关部门负责人，得知卫健委相关部门正在抓紧研究制订大规模检测的具体实施方案，并将适时向社会公布。
月日召开的中央应对新冠肺炎疫情工作领导小组会议提出，要加快提升检测技术，抓紧增加更简便更高效准确的检测设备生产，广泛配备到医院口岸等急需方面，扩大商业化应用，做到对重点人群应检尽检，对复工复产中人员聚集的单位场所优先做到愿检尽检。
此前，在月日召开的领导小组会议上，已经提出根据检测能力的增强，抓紧在重点地区扩大核酸检测和血清抗体检测范围，提高检测率。
扩大检测范围尽早发现早期的病人，是非常必要的。中国疾控中心流行病学首席专家吴尊友告诉记者，当前国内除了入境人员以及隔离人员感染风险比较高以外，其他人群感染的风险还是比较低的，因此核酸检测没有必要每个人都做。在做检测之前，可以做一个风险评估，来自高风险地区境外以及有感染人员密切接触史的可以做。
大规模开展核酸检测，必须以强有力的核酸检测试剂的研发生产和供应作保障。疫情发生后，我国政府科研机构企业等多方汇聚合力，对核酸检测试剂开展攻关加速生产保障供应。
早在月日，中国科学院武汉病毒研究所等专业机构就初步研发出检测试剂盒，武汉市立即组织对在院收治的所有相关病例进行排查。月日，国家卫健委向全国各地发放核酸检测试剂。
到月日，我国核酸检测试剂盒日产量已经达到万人份。从总供应量来看，检测试剂盒已经基本满足当时的要求，而这还是在产能只恢复了百分之六七十的程度上实现的。
一个月后，截至月日，检测试剂盒已累计供给万人份的试剂盒，日均供应量是万人份。当时生产企业的库存还有大约万人份，可以说完全能够满足湖北省和全国其他地区的检测需求。
随着企业加速复工复产，检测试剂盒产能不断提升。到月日，我国核酸检测试剂的日产能达到近万人份，抗体检测试剂的日产能已经接近万人份，进一步扩大了新冠病毒检测试剂的供给能力，有力地保障了疫情防控的需求。
怎样做到应检尽检愿检尽检
除了检测试剂数量外，检测能力也是大规模开展核酸和抗体检测的重要基础。疫情暴发以来，我国新冠病毒核酸检测能力日益提升。以武汉市为例，月日，湖北省召开的新冠肺炎疫情防控工作新闻发布会上介绍，当时武汉市可以开展核酸检测的机构已经扩展到家，核酸检测能力从最初的每天份增加到每天份。
月日，国新办举行的新冠肺炎疫情防控救治进展情况新闻发布会透露，在国家地方和第三方机构的合作下，武汉市核酸检测能力已提高到每天万人份。一个月后，这一数据进一步提高到每天万人份，反馈时间也缩短到小时。
月日，湖北省卫健委副主任柳东如表示，由家核酸检测实验室组成的检测服务网络已覆盖全省。月日以来，日均检测量达到万人次，月日当天的检测量达到万人次。
当前，我国疫情防控向好态势进一步巩固。大规模开展核酸和抗体检测，是因时因势完善疫情防控工作的具体举措。为加强常态化疫情防控，各地区结合实际情况，扩大核酸检测范围，对重点人群实行应检尽检，对其他人群实行愿检尽检。
近日，北京明确对八类人员核酸检测应检尽检。这八类人员分别为新冠肺炎病例和密切接触者发热门诊就诊人员急需住院治疗患者经北京口岸入境人员武汉返京即将解除隔离观察人员中央和国家机关出差返京人员外地来京入住酒店宾馆人员，以及高三初三外地返京和入境进京师生员工。
目前，全市核酸检测机构已由月初的所增至所，可适应当前检测需求。北京市卫健委新闻发言人高小俊表示。此前，北京市卫健委公布了北京市第一批面向团体和个人提供新冠病毒核酸检测的家机构名单。其中，北京博奥医学检验所等家医疗机构面向团体和个人提供新冠病毒核酸检测，北京市疾病预防控制中心等家疾控机构和海关总署北京国际旅行卫生保健中心面向团体提供新冠病毒核酸检测。有检测需求的部门单位和个人，可通过网络进行预约。
据了解，在首都医科大学附属北京友谊医院，核酸检测无法现场挂号，需要先在京医通上预约挂号，选择发热门诊即可。到首都医科大学附属北京潞河医院首都医科大学附属北京天坛医院进行核酸检测，需要支付元挂号费加上元检测费。在北京爱普益医学检验中心北京博奥医学检验所，核酸检测费用分别为元和元。
在上海，据该市卫健委发布的消息，全市单位或个人可按照自愿自费原则，预约开展新冠病毒核酸检测。目前，上海市新冠病毒核酸检测受理机构有家，具有新冠病毒核酸检测资质的第三方受理机构有家。
目前，广东省广州市的疾控中心医疗机构以及第三方检测机构，均具有对新冠病毒核酸检测的能力，日均检测能力达到万份。除了各区医疗机构的个常设检测点外，广州还在各重点排查场所周边设置了个便民咽拭子采样点，方便市民进行检测。
当然，便捷的检测服务并非是只有一线城市才能享有的福利。江苏省医保局省卫健委最新发布关于新增完善部分医疗服务项目价格的通知，新增新冠病毒核酸检测和抗体检测两项医疗服务项目，核酸检测元次，抗体检测元项。仅南通一个地级市，就设有个核酸和抗体检测采样服务点。"
回乡一律核酸检测?国家发改委刚刚明确,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6922327663289926148%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7f853e716ebead7e25a6a2dfbdd8e98bebe70b2da3b8ff1bc463b93e3fc18ed94cffca5ec5b6fefa02855f9103cfe4954,2021/11/21,"刚刚明确！
就地过年政策
各地不能擅自加码
更不能层层加码
不能阻断人员出行返乡！
- 1 -
今年我回湖南老家
到底需不需要核酸检测？
在长沙打工的小王化名
最近很烦恼
今年过年他想回湖南省内某县城老家
但他却收到了这样一则通知
这则通知当中
将返乡人员划分成了五类
根据最后一类
其他健康人群返乡
也需要核酸检测天居家隔离
也就是说小王
从长沙回去省内低风险
也需要先去核酸检测
抵达老家后还要天居家隔离
但根据国家卫健委此前有关规定，只有跨省份本省内中高风险区域本省内有所规定的重点人群这三类人员返乡才需要持天内有效核酸检测证明和天居家健康监测。
此前芒果都市相关报道点击下方标题阅读
返乡人员如何界定？国家卫健委最新回应！
刚刚！长沙明确！事关来长返长人员！


国家卫健委详细规定
返乡人员需持天内有效新冠病毒核酸检测阴性结果返乡，返乡后实行天居家健康监测，期间不聚集不流动，每天开展一次核酸检测。
工作方案当中所指返乡人员，是指从外地返回农村地区的人员，主要包括三类
一是跨省份返乡人员
二是来自本省内中高风险区域所在地市的返乡人员中高风险区域内部人员原则上不流动
三是本省内的进口冷链食品从业人员口岸直接接触进口货物从业人员隔离场所工作人员交通运输工具从业人员等重点人群。




那么像小王这样在省内工作的人
想要回老家
到底需不需要先去做个核酸检测呢？
- 2 -
最新明确！
就地过年政策是分级分类的
各地方不能擅自加码
月日时，国务院联防联控机制举行新闻发布会，介绍关于做好人民群众就地过年服务保障工作的通知有关情况，并答记者问。


记者从发布会获悉
就地过年政策是分级分类的，中高风险严格执行相关规定，低风险地区倡导就地过年，非必要不出行，确实需要出行的，也不要前往高风险地区。各地方不能擅自加码，更不能层层加码，不能阻断人员出行返乡。



- 3 -
请多一些谅解！
各地想方设法留人
只为更多人能过个好年
又是一年团圆时
没有谁不想回老家好好过个年
然而为了让更多人过个好年
各地想方设法出台举措
论初心只是为让更多人过好年
就地过年虽然显得有些冷清
但如果放任人员流动
最先受到伤害的就是你的亲人
想方设法留人
或许对你的正常出行造成了不便
但也请你能多一些包容和谅解
医护人员正在一线驰援
而我们普通人所能做出的最大贡献
就是耐住寂寞不给国家添麻烦
其实，就地过年
也没什么不好
长沙就地过年不将就
多个景区联合送优惠折扣
五星酒店五折住优惠力度空前
改良湘菜八大碗留住新长沙人
在长沙华天国旅，工作人员表示近期来咨询的客户基本都已省内游为主，春节出游也大多是家庭成团的形式。刘经理说，今年前来咨询春节出游的游客，大概只有往年的五分之一左右，其中还有不少留在长沙过年的新长沙人。
刘经理告诉记者，针对留在湖南过年的人群，省内各个景点也推出了一系列的优惠政策。
除了出行以外，各地酒店也纷纷推出了折扣。
以网红城市长沙为例，通程大酒店推出五折标准客房，留芳宾馆等传统本地宾馆还有百元特价房，其他各大酒店及餐饮也有各种五折套餐。
随着新长沙人留下过年，长沙各大餐饮企业推出的年夜饭套餐也悄悄发生了改变，无辣不欢的湘菜依然是主流，清淡爽口的改良菜也出了不少。
此外，长沙市各大酒店也针对就地过年推出了年夜饭套餐及外卖，价格低至元一桌。在某外卖平台上，关于年夜饭的搜索量也比去年增加了四倍，其中半成品年夜饭一人餐年夜饭最为热门。
与此同时，各种年俗活动也开始预热。在长沙雨花非遗馆，非遗小博士寒假活动正在进行，除了磨豆浆外，还包括竹编年画写甲骨文等内容，将一直持续到寒假结束。此外，馆内也特意准备了非遗传承年货大礼包，针对就地过年的市民，也推出了专享折扣。
- 4 -
为了你和家人安心过年
核酸检测的小苦又有何妨？
能护住我们和亲人周全的
最后一道防线
始终只有我们自己
今年过年回家
带上红包带上祝福
也带上核酸检测证明吧！
为了让返乡人员及时做上核酸检测
减少人员聚集缩短等候时间
全省各大医院及时加大人力物力投入
调整优化核酸检测流程
方便市民群众
记者跑了多家医院亲身体验
为大家整理了这份核酸检测指南
新规出台后，核酸检测需求明显增加。月日，长沙市中医医院核酸检测点近人进行了检测。为减少人员聚集，缩短检测时间，长沙市中医医院新增多条核酸检测线。
由于前来核酸检测的人员越来越多，为减少人员聚集，缩短非医疗等候时间，医院建议市民们，通过公众号提前预约，错峰检测。周一至周日，医院都提供核酸检测服务。
记者了解到
多家医院日间检测至小时
即可拿到检测结果
我省哪些医疗机构可以核酸检测？
记者从湖南省卫生健康委获悉，截至年月日，我省共有家医疗卫生机构可开展新冠病毒核酸检测含医疗机构疾控机构第三方检测机构等。
医疗机构和第三方检测机构名单
建议转发收藏！
图片可点击放大

疾控机构名单

问去医院做核酸检测要注意些什么？
检查前
1
为避免出现呕吐，采样前小时尽量避免进食
2
为避免影响检测结果，采样前分钟请勿抽烟喝酒嚼口香糖
3
为减低交叉感染风险，所有检测者需正确佩戴口罩，检测前取下，检测后立即戴好
4
所有等候检测人员要保持米以上距离，避免交谈
检查中
1
在采集鼻咽拭子前，告知采集人员是否鼻外伤或手术史等病史，并用纸巾清除鼻腔内多余分泌物
2
过程中可能出现鼻部酸痒感，刺激打喷嚏，立即用纸巾或手肘遮挡
3
如果采集口咽拭子，下巴微微上扬张大嘴发出啊的声音，有助于暴露咽部
检查后
1
采集后不逗留，立即离开采集地点
2
注意手部卫生，可使用免洗手消毒液或免洗酒精擦拭双手


我们花了一整年时间来与疫情斗争
决不能在此时功亏一篑
扩散！
告诉更多人吧！"
速看!你的核酸检测结果这样查,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6991779020924781070%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e78c833b6312860ed532a474365045c01294d8d461f2c6ed91230b286d1fb3137af8fde40732ca4b5bedb6225f4464819b,2021/08/02,"来源河南广电映象网
根据政府决策，省疾控部门立即协助郑州市策划筹备和开展全员核酸检测工作，郑州市计划利用月日日两天时间基本完成全市全员检测任务，月日对未参与检测的人群进行扫尾检测。
目前全员核酸检测正在紧张有序地进行，月日起，市民可查询本次核酸检测结果核酸检测结果展示具有一定延迟，若您未查询到检测结果，请安心等待。
那么，核酸检测结果在哪里查？怎么查？
具体来看，有三个通道
关注郑好办微信公众号，点击底部菜单核酸检测，点击结果查询进行查询。
通过郑好办支付宝微信扫描下方二维码进行查询。
登录郑好办，点击首页核酸检测结果查询进行查询。
查询方法
进入页面后，输入检测时在线上登记的证件号码如身份证等即可查询核酸检测结果。
若市民有出行需求，请在出行前提前进行核酸检测结果查询，确认自身是否具备出行资格。如本次核酸检测查询结果为阴性，可凭此证明或纸质核酸检测证明并出示有效身份证件即可离郑。
特别提醒
非必要，不离郑！若有出行需求，请务必提前查询核酸检测结果，同时必须携带个人身份证件。
核酸检测结果查询暂时仅支持通过线上填报的市民，通过线下手动填报市民的检测结果将有一定延迟。
核酸检测结果展示具有一定延迟，若您未查询到检测结果，请安心等待。
全员检测为何要十人一组？专家释疑
郑州市疾控中心专家介绍，混采就是将好多个人的采集拭子放到一个采集管中，当混采检测结果为阴性时，混采样本均视为阴性，代表混检的每个人都是安全的。如果出现阳性，相关部门会立即对该混采管的每个受试者暂时单独隔离，并重新采集单管拭子进行复核。
混采的最大好处是，提高检测效率，短时间内完成全员核酸检测工作，最大程度降低新冠肺炎疫情输入及本地扩散风险。这位专家说，随着国内防控经验的提高，混采模式已经成为目前新冠核酸检测中广泛使用的疫情防控筛查方法。在年发生的新冠肺炎疫情防控工作中，多个地方将此方法用于全人群大范围的核酸检测工作。
映象网综合自郑好办微信公众号顶端新闻
责编林瑶
本文来自河南广电映象网，仅代表作者观点。全国党媒信息公共平台提供信息发布传播服务。
ID：jrtt"
准备核酸检测的人，务必注意!30分钟内不抽烟!若刚打完疫苗→,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6995444770634269197%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7d8209e9c22a55ff303bfa0a384fa454dcb4f1675d470aef8b4facf99a4c908097035e03903e45f9971298398a4bf6650,2021/08/12,"来源央视财经
核酸检测是疫情防控的监测网，开展全员核酸检测是快速发现病毒感染者有效切断传播途径防止疫情扩散的最重要手段之一。
前往核酸检测点需要注意以下几点
前往核酸检测点采样检测，首先带好个人有效证件
注意采样前分钟不应吸烟喝酒咀嚼口香糖等
检测时检测者需要正确佩戴口罩，检测前取下口罩，检测后立即戴好
等待检测时，请注意全程佩戴口罩
与他人保持米以上间距，不交谈，不聚集，听从现场工作人员指引，有序完成扫码登记采样等工作流程
如果是鼻咽拭子采集，可能出现少量鼻腔出血，一般不需要特殊处理，如出血量较多请及时到医院进行处理
如果当天接种新冠病毒疫苗，那么小时后方可进行核酸检测。"
广州将完成新一轮全员核酸筛查!一图揭秘核酸检测全过程,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6978437629066871327%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7d970ec9c9718b1ad4840908416050718deae6d16c9c74fc8d958163cf535a6969baee9aeaee2cdae606bc3abdaa90e7f,2021/11/21,更多内容请下载财经
核酸检测的原理是什么?DNA和RNA怎么区分?什么是假阴性,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6883769538979365380%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7b01fb80bbca6972079473981250083d8e415051a0ab0b6144bebd09d3e2490e4c77372176973d90e6182a93070ca3aa1,2021/11/21,"如今，疾病越来越复杂多样，而疾病的检测以及甄别对于治疗来说就显得至关重要了，就拿这次新冠肺炎的爆发来说，其中核酸检测这种医学检测手段就进入了大众的视野。那么，核酸检测技术的原理是什么？为什么核酸检测会有的一定几率出错？什么是假阴性？

核酸作为一个比较大的概念，分为脱氧核糖核酸，以及核糖核酸，其中脱氧核糖核酸是我们日常生活中所说的基因，即，一般以细胞为单位的生命体的遗传信息都是以脱氧核糖核酸的形式被储存在里的，但是病毒的遗传方式有所不同，比如有一部分病毒是以脱氧核糖核酸为遗传物质的乙肝病毒。

但是普遍的病毒致病性不同，一般常见的致病性病毒的遗传物质是一种叫做的物质，即核糖核酸。
总之，核酸就是在细胞核里面的一类生物聚合物，是遗传物质的最小单位核苷酸或者碱基所组成的序列，参与着遗传物质保存繁殖等生化合成和细胞代谢，决定着细胞或机体的性状表现。

自年双螺旋结构的发现，正式开启了分子生物学时代，使人类对病原体的研究从形态学层次深入到了分子层次，而核酸检测技术就是基于分子水平的一项检测技术。

简单来说，由于每一个生物的核酸是不一样的，因此可以通过分析致病微生物核酸内部的基因学序列，来确定生物体上是否携带有病毒。
核酸检测技术是基于核酸双链互补配对原则的核酸杂交技术，首先合成一段与特定病原体或者互补的单链核酸序列作为探针，并用生物素放射性同位素酶等进行标记，然后与待测病原体的核酸进行杂交。如果探针能与待测病原体的核酸互补配对，便能观察到标记物的信号，以此来证实待测病原体的种类。

当探针与病原体核酸互补结合后，探针上的标记物便会显色，研究人员就通过观察病原体样本是否显色来确定病原体的种类，但是有时候会因为患者体内的病原体核酸含量过低，检测时会有一定的难度。
直到世纪八九十年代，技术的出现才大大提高了核酸检测技术的应用性和准确性。核酸检测技术不必预先对病原体进行分离培养便可直接检测，方便快捷，而且特异度和灵敏度均较高，对感染性疾病的早期诊断有至关重要的意义。

对于核酸检测的价格各个地方略有不同，一般做一次核酸检测可能需要到元左右，一般小时内就可以得出结果。
虽然核酸检测技术已经相当成熟，但自新冠肺炎疫情发生以来，关于核酸检测的假阴性率过高的这个话题，一直都是各方关注的焦点。

比如在北京大学国际医院一名急诊护士在月日确诊感染新冠肺炎，但月日她曾参加的核酸检测结果却为阴性，这个结果也让众人对核酸检测技术提出了质疑。
假阳性是指本来的阴性样品结果检测为了阳性，即错检假阴性是指本来的阳性样品检测为阴性，即漏检。

实际上，从技术角度上来说，核酸检测过程中出现的假阴性是不可避免的，比如有项研究就发现，新冠患者在感染期间至少会有的漏诊概率，即会出现假阴性结果。虽然核酸检测技术会有假阴性的问题出现，但我们对于核酸假阴性也不能掉以轻心。"
